,countA,countB,FishersExact
group_1448,14,11,"(0.5167785234899329, 0.1179804289715729)"
group_2393,201,91,"(0.8968581753816653, 0.5597844356205411)"
vapD_2,293,117,"(1.0168358859634028, 0.938876243671552)"
group_12,108,23,"(1.906623869273417, 0.01195883472700725)"
group_65,106,41,"(1.0497626452774595, 0.9155753948327732)"
group_1912,294,117,"(1.020306315608329, 0.9388455799997938)"
group_1541,32,13,"(0.9994837377387713, 1.0)"
pilY1_1,237,88,"(1.0935402684563758, 0.6220472280259549)"
ggt_2,291,110,"(1.0741610738255034, 0.697880974666097)"
group_618,22,9,"(0.9925428784489188, 1.0)"
cas1,258,99,"(1.058165548098434, 0.7495904580433961)"
group_270,175,79,"(0.8994562908843768, 0.5437515938839166)"
group_15,123,63,"(0.7927452860338766, 0.25041756022983397)"
group_625,71,15,"(1.921923937360179, 0.032479777996233236)"
group_55,249,89,"(1.1360003016363773, 0.4628736356754856)"
group_738,150,45,"(1.3534675615212528, 0.14372848836835614)"
group_103,117,46,"(1.0327545958564341, 0.9189223750917075)"
group_102,295,117,"(1.0237767452532553, 0.9388450793784531)"
group_2406,69,29,"(0.9660958111548252, 0.9019207552926785)"
group_62,23,8,"(1.1673657718120805, 0.8382336131276888)"
group_333,283,117,"(0.9821315895141398, 0.9386902355522051)"
group_11,265,103,"(1.0446667101062097, 0.8124827351558956)"
group_607,293,120,"(0.9914149888143177, 1.0)"
group_48,56,22,"(1.0335570469798658, 1.0)"
group_272,57,18,"(1.2857941834451903, 0.4857221206075115)"
group_1136,259,99,"(1.0622669649515286, 0.7494625889601951)"
group_2449,35,4,"(3.5528523489932886, 0.01339194420531259)"
rplP,59,21,"(1.1407798018536273, 0.6866068689831979)"
group_244,268,106,"(1.0265923768519691, 0.8752846859911761)"
group_1328,277,113,"(0.9953376492249213, 1.0)"
group_1606,61,68,"(0.36424200552704306, 1.4479077806790392e-06)"
group_1737,104,53,"(0.796758262631379, 0.2636231494437124)"
rusA,150,52,"(1.1712700051626226, 0.44542247812099767)"
rlmD,268,104,"(1.0463345379452762, 0.8128954221040957)"
cycA,285,110,"(1.0520134228187918, 0.7562392101696984)"
group_1907,278,120,"(0.9406599552572706, 0.7017661683761196)"
porB,176,61,"(1.1715260204642974, 0.41468771291858697)"
group_105,101,32,"(1.2815645973154361, 0.3174499634512463)"
group_150,224,80,"(1.1369127516778523, 0.5012224261546775)"
group_984,58,64,"(0.3679739932885906, 2.5293026990807483e-06)"
group_112,74,28,"(1.0731064237775647, 0.8082021806522786)"
group_1905,168,61,"(1.1182748377159204, 0.5837262408450242)"
group_1482,20,14,"(0.5800575263662512, 0.17086202215924548)"
group_434,271,104,"(1.0580472379969024, 0.7526106635964636)"
group_1122,115,24,"(1.945609619686801, 0.007236890739297256)"
group_1506,24,3,"(3.248322147651007, 0.04731437757937618)"
group_2013,296,118,"(1.018541690365146, 0.9389860923404301)"
group_2040,240,111,"(0.8779249047705423, 0.4307634174128724)"
hprA,257,115,"(0.9074117303764225, 0.5345998916748355)"
group_2505,17,14,"(0.4930488974113135, 0.06757393979174728)"
group_2384,112,26,"(1.7490965410428498, 0.019738485300502255)"
group_2383,168,64,"(1.0658557046979866, 0.785602442586349)"
pilE_6,153,63,"(0.986097794822627, 1.0)"
group_31,39,13,"(1.2181208053691275, 0.6273958227450895)"
group_223,24,18,"(0.5413870246085011, 0.0767270552968798)"
nosD_2,292,121,"(0.9798657718120806, 0.9391728908519523)"
mafA1,294,112,"(1.0658557046979866, 0.6993943571437923)"
group_95,291,112,"(1.0549796260786193, 0.7570924986093744)"
group_914,253,81,"(1.2682492335736184, 0.1602069582616955)"
group_1135,259,99,"(1.0622669649515286, 0.7494625889601951)"
group_1403,278,107,"(1.0549457442137615, 0.7544468511811779)"
group_2439,73,36,"(0.8233594332587622, 0.41160401220329546)"
group_1501,141,40,"(1.4312919463087248, 0.0888731829425996)"
group_1329,291,115,"(1.0274584184417859, 0.8777446998940353)"
group_1909,103,26,"(1.6085441404233352, 0.05375390770036145)"
group_1923,170,47,"(1.4686562901613593, 0.057699243576644146)"
group_1405,297,117,"(1.030717604543108, 0.8781748629060228)"
group_2447,30,2,"(6.090604026845638, 0.0035499107407360574)"
group_2316,83,72,"(0.46807419835943326, 0.00010102440367052118)"
group_901,48,41,"(0.4753642167294156, 0.00248943977189455)"
group_8,111,28,"(1.609659635666347, 0.04668037157568544)"
group_1330,226,97,"(0.9460319656818653, 0.7455898402938048)"
group_1886,289,118,"(0.9944545557957002, 1.0)"
group_453,28,9,"(1.2632363907531692, 0.7044346994105949)"
rocG,24,12,"(0.8120805369127517, 0.5704850763397522)"
group_2456,169,76,"(0.9029053338043095, 0.5975362429283888)"
group_1919,292,114,"(1.0400329683268574, 0.8172733976551501)"
group_79,255,91,"(1.137805147872262, 0.4653266118093122)"
group_93,292,118,"(1.00477761346832, 1.0)"
group_74,179,67,"(1.0847941500550937, 0.7213446886800912)"
group_224,57,14,"(1.653163950143816, 0.11648187311000241)"
group_910,104,74,"(0.5706511881008526, 0.00306857515895435)"
group_1847,182,98,"(0.7540747842761265, 0.096181554699277)"
group_1025,238,98,"(0.986097794822627, 0.9358639721364495)"
group_38,178,86,"(0.8404089277352895, 0.30658949200319785)"
group_176,216,81,"(1.0827740492170022, 0.6738004536345229)"
apxIB_2,114,28,"(1.653163950143816, 0.0365878504120916)"
group_1462,21,14,"(0.6090604026845637, 0.17998334990033743)"
group_1877,272,109,"(1.013238101102149, 0.9378466925312031)"
group_53,211,50,"(1.7134899328859061, 0.004800360987391119)"
group_2260,54,34,"(0.6448874851954205, 0.07575200049716373)"
piiC_1,274,114,"(0.9759213469916401, 0.8771167701287128)"
group_1125,215,67,"(1.3029650405689672, 0.1401950097149112)"
group_2380,71,39,"(0.7392015143692996, 0.19982078099946432)"
group_1853,169,94,"(0.7300085677566757, 0.06302768252530107)"
fimA,126,38,"(1.346344048039562, 0.17952423020662567)"
group_1526,23,24,"(0.38912192393736017, 0.0026699337741295944)"
group_2140,113,28,"(1.6386625119846596, 0.036796928073189364)"
copA_1,287,119,"(0.979273588630083, 0.9389094595247796)"
mbeA,281,114,"(1.000853644177558, 1.0)"
cdiA_1,186,94,"(0.8034413822647437, 0.2096880613618632)"
group_1485,107,51,"(0.8518884063692591, 0.4750576103562614)"
group_969,26,4,"(2.639261744966443, 0.08974082810508319)"
group_27,275,117,"(0.9543681523547295, 0.8169790611627858)"
pilE1_2,62,13,"(1.9364997418688694, 0.047584104109758996)"
group_913,250,98,"(1.0358170113683056, 0.8724917212351113)"
cvaA_2,114,28,"(1.653163950143816, 0.0365878504120916)"
dnaC_1,272,95,"(1.1625574002119392, 0.3785818107896518)"
group_132,247,84,"(1.1939517417705336, 0.32217398243738693)"
group_412,153,51,"(1.2181208053691275, 0.3401164345978307)"
gspA,286,117,"(0.9925428784489188, 1.0)"
group_557,280,111,"(1.0242457222322994, 0.9380258761020857)"
group_529,126,46,"(1.11219725707616, 0.6168053153531)"
group_2101,293,117,"(1.0168358859634028, 0.938876243671552)"
group_2249,162,89,"(0.7390845335947516, 0.08530308820470534)"
group_243,254,112,"(0.9208413231064237, 0.6385954807217983)"
group_545,239,100,"(0.9704362416107383, 0.8724893280533849)"
group_1496,50,19,"(1.0685270222536207, 0.8864404512155082)"
group_2005,49,40,"(0.4973993288590604, 0.003893897934744825)"
group_1376,295,117,"(1.0237767452532553, 0.9388450793784531)"
group_364,13,12,"(0.43987695749440714, 0.06916956308205259)"
group_1710,153,41,"(1.5152234408250123, 0.048809739297989985)"
group_926,63,15,"(1.7053691275167786, 0.09650552236647983)"
group_1945,235,106,"(0.9001836140306445, 0.5244902978263162)"
group_955,14,8,"(0.7105704697986577, 0.47420678177260944)"
group_590,295,117,"(1.0237767452532553, 0.9388450793784531)"
group_347,152,72,"(0.8571961222967934, 0.41670064761434505)"
group_1479,209,91,"(0.93255402315805, 0.6791923708673444)"
group_2523,19,12,"(0.6428970917225951, 0.3069227732733594)"
group_632,47,17,"(1.1225819186735098, 0.7678253324377088)"
group_633,19,6,"(1.2857941834451903, 0.8199732538528446)"
pilE_4,114,29,"(1.596158296690581, 0.04886045315161499)"
group_1438,279,113,"(1.002524202648928, 1.0)"
group_949,21,3,"(2.8422818791946307, 0.1020399128579102)"
group_144,272,95,"(1.1625574002119392, 0.3785818107896518)"
pilE_8,18,4,"(1.8271812080536913, 0.33948145074721536)"
group_2532,69,17,"(1.6480457954994079, 0.11023123857181608)"
group_2410,25,1,"(10.151006711409396, 0.002890422186304346)"
group_20,66,11,"(2.436241610738255, 0.007419814019962732)"
group_1451,22,16,"(0.5583053691275168, 0.09757218868244316)"
group_42,22,14,"(0.6380632790028763, 0.25316808955235887)"
group_1801,273,120,"(0.923741610738255, 0.6448239857873055)"
group_1906,214,100,"(0.8689261744966443, 0.4162428803184488)"
group_2283,66,59,"(0.45421453759526786, 0.00021244008133143466)"
comEA,293,115,"(1.0345199883279836, 0.8776260581910161)"
group_1533,7,15,"(0.1894854586129754, 0.0002407864515011648)"
group_1352,295,119,"(1.0065704134002593, 1.0)"
group_33,277,100,"(1.1247315436241612, 0.47634412431919965)"
group_556,233,51,"(1.8550467166732465, 0.0009320166416767195)"
group_887,130,27,"(1.955008699975143, 0.0038698170495129625)"
